bankName,cardName,imgUrl,benefit,type,rotate,position
NH농협카드,zgm.the pay카드,https://d1c5n4ri2guedi.cloudfront.net/card/2427/card_img/27201/2427card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
현대카드,현대카드O,https://d1c5n4ri2guedi.cloudfront.net/card/2880/card_img/44410/2880card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
신한카드,신한카드 Point Plan+,https://d1c5n4ri2guedi.cloudfront.net/card/2731/card_img/36308/2731card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
현대카드,현대카드 ZERO Up,https://d1c5n4ri2guedi.cloudfront.net/card/2844/card_img/43699/2844card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
NH농협카드,zgm.일본여행중 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2593/card_img/30936/2593card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
우리카드,카드의정석 TEN,https://d1c5n4ri2guedi.cloudfront.net/card/2699/card_img/34252/2699card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
KB국민카드,Easy all 티타늄카드,https://d1c5n4ri2guedi.cloudfront.net/card/634/card_img/21400/634card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
IBK기업은행,IBK포인트3.8(신용),https://d1c5n4ri2guedi.cloudfront.net/card/2778/card_img/40256/2778card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
삼성카드,네이버페이 taptap,https://d1c5n4ri2guedi.cloudfront.net/card/458/card_img/28058/458card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
IBK기업은행,I-Mileage (대한항공),https://d1c5n4ri2guedi.cloudfront.net/card/2674/card_img/32666/2674card_2.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
삼성카드,THE iD. PLATINUM(포인트),https://d1c5n4ri2guedi.cloudfront.net/card/2460/card_img/28298/2460card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
신한카드,Haru(Hoshino Resorts),https://d1c5n4ri2guedi.cloudfront.net/card/2855/card_img/43765/2855card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
신한카드,신한카드 Edu Plan+,https://d1c5n4ri2guedi.cloudfront.net/card/2735/card_img/36457/2735card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
현대카드,네이버 현대카드 Editon2,https://d1c5n4ri2guedi.cloudfront.net/card/2794/card_img/39286/2794card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
신한카드,신한카드 The CLASSIC-S,https://d1c5n4ri2guedi.cloudfront.net/card/945/card_img/21598/945card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
삼성카드,삼성 iD ALL 카드,https://d1c5n4ri2guedi.cloudfront.net/card/2234/card_img/27720/2234card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
KB국민카드,다담카드,https://d1c5n4ri2guedi.cloudfront.net/card/121/card_img/20353/121card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,90,center
신한카드,K-패스 신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2690/card_img/33494/2690card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
IBK기업은행,I-ALL,https://d1c5n4ri2guedi.cloudfront.net/card/2482/card_img/28405/2482card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
롯데카드,LOCA LIKIT Eat,https://d1c5n4ri2guedi.cloudfront.net/card/2262/card_img/20704/2262card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",신용,0,center
